#Table1
objid,ra,dec,u,g,r,i,z,run,rerun,camcol,field,specobjid,class,redshift,plate,mjd,fiberid
1237651249895113689,217.216728979109,59.9811502545788,23.24313,22.27853,20.63655,19.64394,19.26786,1345,301,1,465,7664230571670001664,GALAXY,0.5561245,6807,56429,836
1237651249895178514,217.501358560943,59.8985201170155,21.34696,21.40767,21.08124,21.28589,21.26322,1345,301,1,466,9471220236802086912,GALAXY,0.268707,8412,58172,546
1237651249895243847,217.764990780352,59.8367732556209,18.78125,18.35872,18.66422,18.29719,18.45122,1345,301,1,467,683486979001706496,GALAXY,0.05923368,607,52368,239
1237651249895243848,217.761959210096,59.8365604198537,18.60762,17.6023,17.39569,17.22517,17.13535,1345,301,1,467,888506314727122944,GALAXY,0.05935839,789,52342,623
1237651249895243880,217.529786008059,59.8820277655043,19.6411,18.17177,17.25769,16.80882,16.4845,1345,301,1,467,683484230222637056,GALAXY,0.1265635,607,52368,229
1237651249895243902,217.625045587349,59.8625705982138,19.68312,17.6185,16.71352,16.28008,15.95644,1345,301,1,467,888509063506192384,GALAXY,0.06025428,789,52342,633
1237651249895243908,217.633633392918,59.8491949777584,19.56171,17.81659,17.01746,16.63214,16.36424,1345,301,1,467,683482580955195392,GALAXY,0.06045892,607,52368,223
1237651249895243913,217.657992261311,59.867239377191,19.21292,17.3,16.42471,16.0197,15.70901,1345,301,1,467,683482306077288448,GALAXY,0.06007071,607,52368,222
1237651249895244000,217.882481785521,59.9361126193313,19.3495,18.09385,17.4862,17.1501,16.90158,1345,301,1,467,683486704123799552,GALAXY,0.1046379,607,52368,238
1237651249895244177,217.65073327405,59.9971600847932,26.47169,21.91024,20.20045,19.31228,18.80357,1345,301,1,467,7670869147832834048,GALAXY,0.50038,6813,56419,411
1237651249895309495,217.790580050254,59.8428897331953,17.72339,16.3296,15.6508,15.2842,15.04686,1345,301,1,468,888506864482936832,GALAXY,0.05989238,789,52342,625
1237651249895309516,217.882855816618,59.8237821823694,18.27265,17.20822,16.84767,16.57951,16.47945,1345,301,1,468,683485879490078720,GALAXY,0.05938751,607,52368,235
1237651249895309664,217.873830414994,59.7808720130997,19.54796,18.26094,17.59698,17.26323,17.01325,1345,301,1,468,683487253879613440,GALAXY,0.1426462,607,52368,240
1237651249895310051,217.894840042682,59.8246650265541,23.89159,22.70503,21.01982,19.87259,19.46152,1345,301,1,468,7664242391420000256,GALAXY,0.6512086,6807,56429,879
1237651249895374877,218.230066474653,59.8149049223903,23.0647,20.59103,18.88865,18.29856,17.9312,1345,301,1,469,7664253111658371072,GALAXY,0.3232529,6807,56429,918
1237651249895374955,218.113822764948,59.8244179313542,18.64762,17.23611,16.54815,16.12309,15.83397,1345,301,1,469,683476258763335680,GALAXY,0.06037829,607,52368,200
1237651249895374969,218.140575112842,59.791320032662,19.68796,18.41749,17.71971,17.34848,17.09485,1345,301,1,469,683474884373800960,GALAXY,0.1129192,607,52368,195
1237651249895374984,218.164170025442,59.7804962600846,19.17813,17.52536,16.58381,16.14984,15.8464,1345,301,1,469,683471310961010688,GALAXY,0.1127613,607,52368,182
1237651249895375049,218.226730576631,59.8685366627694,22.64035,20.80056,18.9883,18.43089,17.93674,1345,301,1,469,7670856778327021568,GALAXY,0.3329831,6813,56419,366
