#Table1
objid,ra,dec,u,g,r,i,z,run,rerun,camcol,field,specobjid,class,redshift,plate,mjd,fiberid
1237651250970099962,222.798140441112,59.3767911199828,20.52483,20.47713,20.2623,20.22987,19.98501,1345,301,3,484,686887488354019328,STAR,-0.0001222396,610,52056,322
1237651250970100267,222.757891933756,59.2796731596277,23.98923,23.72121,21.98533,20.34438,19.30255,1345,301,3,484,9476876949299419136,STAR,-8.374409E-05,8417,58175,645
1237651250970165495,223.259829210854,59.265822425764,20.2873,19.26859,18.98424,18.91028,18.81909,1345,301,3,485,686890512010995712,STAR,-0.000484086,610,52056,333
1237651250970165715,222.993430402973,59.2233744327844,24.94482,25.03757,23.55596,21.35667,19.50833,1345,301,3,485,9476880797590116352,STAR,-5.500311E-05,8417,58175,659
1237651250970230951,223.334152834454,59.0877366150319,16.86669,15.61859,15.79975,15.95037,16.02485,1345,301,3,486,686904805662156800,STAR,-0.000330402,610,52056,385
1237651250970230998,223.362031083268,59.2039768153233,20.41491,18.05261,17.1727,16.86368,16.68376,1345,301,3,486,7643873113411966976,STAR,-0.0002027211,6789,56401,504
1237651250970362101,223.852640481257,58.9059257891991,19.73747,19.32942,19.27258,19.30856,19.41533,1345,301,3,488,686917999801690112,STAR,-0.0001835292,610,52056,433
1237651250970427414,224.080973845359,58.9817162073599,22.13712,21.09882,19.79959,18.69689,18.22494,1345,301,3,489,7643903075103823872,STAR,1.469658E-05,6789,56401,613
1237651250970427709,224.020593100958,58.8485499530187,25.05268,22.49874,21.12442,19.03958,17.95236,1345,301,3,489,686915251022620672,STAR,3.341165E-05,610,52056,423
1237651250970427775,224.171398997506,58.9502464607729,21.80643,21.30159,21.20961,21.30482,21.64208,1345,301,3,489,7643902800225916928,STAR,-0.0004616914,6789,56401,612
1237651250970493222,224.419035332565,58.8009696797383,23.80118,22.56451,20.89889,18.9884,17.93761,1345,301,3,490,9476754078875015168,STAR,-4.932417E-05,8417,58175,198
1237651250970558551,224.417871781372,58.7115887662246,19.37531,18.48487,18.15718,18.06167,18.03798,1345,301,3,491,7643918193388705792,STAR,-0.0005446241,6789,56401,668
1237651250970559389,224.504658910551,58.6995439545993,24.47152,23.37394,21.94546,20.82709,19.93317,1345,301,3,491,9476752704485480448,STAR,-0.0002103385,8417,58175,193
1237651250970624021,224.732357839623,58.641942689644,18.37002,17.45663,17.13838,17.0221,16.98304,1345,301,3,492,9476751330095945728,STAR,-0.0008993325,8417,58175,188
1237651250970624027,224.721259829324,58.6001291884717,19.06093,18.21501,17.95953,17.89213,17.85403,1345,301,3,492,7643928638749169664,STAR,-0.0004937018,6789,56401,706
1237651250970820612,225.40732005304,58.4377296529748,19.05672,18.09102,17.71558,17.59988,17.56527,1345,301,3,495,686846531545884672,STAR,-0.0001054596,610,52056,173
1237651250972000369,229.423028858123,56.5965750193868,19.40298,18.50872,18.19419,18.06258,17.98965,1345,301,3,513,7650763203430078464,STAR,-0.0010355,6795,56425,994
1237651250972000633,229.225989502742,56.6787922913264,22.17825,20.64312,19.91599,19.62311,19.5146,1345,301,3,513,9482435256193931264,STAR,-0.0003385325,8422,58219,386
1237651250972000657,229.348283901035,56.7208317576955,22.54195,20.8617,20.19043,19.96773,19.93288,1345,301,3,513,9482435805949745152,STAR,-0.0004285771,8422,58219,388
1237651250972065858,229.703590884756,56.6763710366758,19.05043,18.57083,18.52029,18.55439,18.66171,1345,301,3,514,691397983098398720,STAR,-3.348398E-05,614,53437,347
1237651250972065916,229.582518754451,56.6577993375889,19.93847,19.04653,18.76332,18.67685,18.66196,1345,301,3,514,7651769257039255552,STAR,-0.0001626789,6796,56453,558
1237651250972131517,229.743442455155,56.4684677026616,19.62156,17.35895,16.43038,16.07948,15.90291,1345,301,3,515,689051877379172352,STAR,-5.581626E-05,612,52079,4
1237651250972196887,230.021150970611,56.456154730128,18.42414,17.31053,17.12276,17.09132,17.1325,1345,301,3,516,691411726993745920,STAR,-0.0006447328,614,53437,397
1237651250972197028,230.024984644659,56.4600049134014,21.01197,19.954,19.88054,19.94952,19.91557,1345,301,3,516,3246070937291876352,STAR,-0.0001041507,2883,54525,369
1237651250972197151,230.111786905835,56.4011373837892,23.98775,22.06862,20.34651,17.9717,16.64463,1345,301,3,516,691411452115838976,STAR,-6.245018E-05,614,53437,396
1237651250972262580,230.239329168422,56.2299216771545,21.59342,19.9986,19.40585,19.16558,19.08382,1345,301,3,517,9482411066938120192,STAR,-0.0003115229,8422,58219,298
1237651250972262587,230.303665909237,56.2694915825379,20.0666,19.59213,19.63659,19.66924,19.66201,1345,301,3,517,7651783550690416640,STAR,-0.000269238,6796,56453,610
1237651250972262663,230.280279982306,56.2152735386233,24.45907,22.03187,21.64939,21.48858,21.47155,1345,301,3,517,7651786299469486080,STAR,-0.001529805,6796,56453,620
1237651250972262718,230.192973996078,56.2365020974797,22.02571,20.96132,20.76077,20.88167,20.57882,1345,301,3,517,7651784650202044416,STAR,-0.0004864633,6796,56453,614
1237651250972263034,230.338841540333,56.3269831881137,23.93663,23.14463,21.75346,20.18168,19.31453,1345,301,3,517,9482400896455563264,STAR,-0.0003026136,8422,58219,261
1237651250972328020,230.386906892034,56.1600827233508,18.81041,17.42444,17.07688,17.24431,17.37569,1345,301,3,518,691421622598395904,STAR,-0.0001248221,614,53437,433
1237651250972328133,230.308011928969,56.2091964728429,21.50846,19.74692,19.13735,18.90494,18.80877,1345,301,3,518,9481352787063494656,STAR,-0.000501457,8421,58223,544
1237651250972328436,230.269686383615,56.2070426736346,24.89119,22.92365,21.52989,19.48478,18.45972,1345,301,3,518,3246069837780248576,STAR,-0.0003133891,2883,54525,365
1237651250972393586,230.628756701986,56.051481634586,18.65723,17.76884,17.48516,17.36021,17.33223,1345,301,3,519,9482398147676493824,STAR,-0.00068148,8422,58219,251
1237651250972393636,230.656416733589,56.1932767786546,21.44182,19.79948,19.17644,18.8906,18.8105,1345,301,3,519,9481365431447214080,STAR,-0.0001264072,8421,58223,590
1237651250972393752,230.713789734372,56.0895926762001,20.44907,19.23908,18.96968,18.86944,18.85904,1345,301,3,519,7651804716289251328,STAR,-0.0003693021,6796,56453,687
1237651250972459326,230.941018409764,56.0263496392549,21.71487,21.18046,21.16177,21.18375,21.5669,1345,301,3,520,7651806090678786048,STAR,0.000280099,6796,56453,692
1237651250972524616,231.164278112619,55.9801543120096,18.12844,17.09136,16.76455,16.63554,16.6015,1345,301,3,521,3246093477280245760,STAR,5.847927E-05,2883,54525,451
1237651250972524681,231.091192266695,55.9938203088523,21.93621,19.33263,17.87617,16.41118,15.65309,1345,301,3,521,3246095401425594368,STAR,-0.0002750687,2883,54525,458
1237651250972525219,231.107352444517,55.9072561432722,24.04642,22.92834,21.44108,19.50505,18.45649,1345,301,3,521,3246016786344208384,STAR,8.206599E-05,2883,54525,172
1237651250972525299,231.20210420744,55.9258409727372,22.98584,21.40301,20.56923,20.48712,20.32711,1345,301,3,521,7651819284818319360,STAR,-0.0001669014,6796,56453,740
1237651250972590214,231.233055771446,55.761112548194,21.39373,19.79074,19.03782,18.68915,18.47441,1345,301,3,522,9481389070947211264,STAR,-0.0007738517,8421,58223,676
1237651250972655968,231.383973020353,55.6965983739347,24.20168,22.1474,20.62492,18.75674,17.67975,1345,301,3,523,3246018710489556992,STAR,-6.5828E-05,2883,54525,179
1237651250972656046,231.666271296044,55.8070772359962,22.06464,21.51669,21.21489,21.24129,21.15132,1345,301,3,523,7651839076027619328,STAR,-0.0002364015,6796,56453,812
1237651250972786735,231.950889883685,55.5762653133211,18.04301,16.86954,16.75933,16.76875,16.82753,1345,301,3,525,3246004141960488960,STAR,-0.0003972384,2883,54525,126
1237651250972787394,232.028974362226,55.6111573940313,22.55269,21.57263,21.21804,21.04153,21.22439,1345,301,3,525,9481415459226277888,STAR,-8.706314E-06,8421,58223,772
1237651250972852305,232.286934407819,55.4826840382073,17.07696,16.21096,15.9446,15.84701,15.80638,1345,301,3,526,691345756296079360,STAR,-0.0005443769,614,53437,157
1237651250972852517,232.175835007274,55.4715103007066,24.96453,22.92603,21.40965,19.45494,18.37434,1345,301,3,526,691341358249568256,STAR,-3.261109E-05,614,53437,141
1237651250972917888,232.262370729062,55.4269498631608,20.58831,18.15314,16.93456,16.53694,16.37027,1345,301,3,527,691344931662358528,STAR,0.0002645291,614,53437,154
1237651250972917988,232.280536948918,55.294743662111,20.39054,19.49415,19.36053,19.39046,19.45014,1345,301,3,527,9481427004098369536,STAR,-0.0008279814,8421,58223,814
1237651250972918199,232.339377786053,55.2776665932441,22.28061,21.80036,22.04904,22.64702,22.75772,1345,301,3,527,9481437999214647296,STAR,-0.000251851,8421,58223,854
1237651250972983555,232.468860142987,55.1650892972617,19.62185,19.17469,19.23476,18.79227,18.18952,1345,301,3,528,691344107028637696,STAR,9.461036E-05,614,53437,151
1237651250972983934,232.435742909628,55.2586246672107,23.38584,22.19206,21.70076,21.51473,22.21293,1345,301,3,528,9481438548970461184,STAR,-0.001121313,8421,58223,856
1237651250973048979,232.706322921939,55.2674216032955,22.25258,19.58718,18.15192,17.05685,16.49163,1345,301,3,529,691331462644918272,STAR,-0.0001277478,614,53437,105
1237651250973114385,232.886925728497,55.1263455325867,18.88812,17.97848,17.64952,17.51214,17.46386,1345,301,3,530,9481450643598366720,STAR,-0.0003341813,8421,58223,900
1237651250973114404,232.802561378729,55.0276717416747,17.6387,17.81512,18.32358,18.67126,18.95967,1345,301,3,530,691316069482129408,STAR,-0.0004991277,614,53437,49
1237651250973114913,232.833668770971,55.0922060779576,23.33762,22.3751,20.95954,20.07175,19.55721,1345,301,3,530,9481449544086738944,STAR,-0.0004293136,8421,58223,896
1237651250973115246,232.931304439117,54.971525862801,24.85,22.88573,21.86973,20.89672,19.98787,1345,301,3,530,9481235139319322624,STAR,8.775524E-05,8421,58223,116
1237651250973179943,233.036635541993,54.9055222839847,18.99081,18.06491,17.8067,17.70247,17.68053,1345,301,3,531,7651630718574155776,STAR,-0.001116688,6796,56453,54
1237651250973180216,233.079506099448,54.9586825744746,23.74552,22.71367,21.11365,18.46088,17.04162,1345,301,3,531,691307823144921088,STAR,-3.212176E-05,614,53437,19
1237651250973245583,233.236003471704,54.8641900962303,21.54359,18.77475,17.35115,16.04821,15.3721,1345,301,3,532,691304249732130816,STAR,-3.684139E-05,614,53437,6
1237651250973245990,233.168795656574,54.8255334178852,25.3286,22.5626,21.1728,19.82205,18.95862,1345,301,3,532,9481222220057696256,STAR,-0.0001930454,8421,58223,69
1237651250973246121,233.201185772664,54.7657599482424,25.08017,22.00301,21.06956,20.60939,20.48402,1345,301,3,532,9481222494935603200,STAR,-0.0003620151,8421,58223,70
1237651250973246200,233.286627858669,54.7816764468217,25.59837,22.69313,21.54652,19.47952,18.39204,1345,301,3,532,691303150220503040,STAR,-0.000329543,614,53437,2
1237651250973310980,233.491953937724,54.862719327244,18.78695,17.72197,17.50271,17.46103,17.45523,1345,301,3,533,691306723633293312,STAR,-8.717996E-05,614,53437,15
1237651250973311825,233.654921950136,54.7688481541548,24.88792,22.84031,21.34297,20.04832,19.64943,1345,301,3,533,9481210125429790720,STAR,8.015044E-05,8421,58223,25
1237651250973376586,233.56228204314,54.5928956499413,24.54193,24.79786,22.10253,20.72663,19.88921,1345,301,3,534,9479086419156948992,STAR,0.0002305364,8419,58249,491
1237651250973376676,233.546229247501,54.562599198218,16.54308,16.72395,17.01596,17.18654,17.29306,1345,301,3,534,7559540022577485824,STAR,-0.0002356006,6714,56447,902
1237651250973442129,233.881572933805,54.6216009126373,23.79845,22.07105,24.80247,20.20984,18.53691,1345,301,3,535,9479087243790669824,STAR,0.0002160903,8419,58249,494
1237651250973507704,234.025549955256,54.336619535878,18.77249,17.35115,16.86096,16.64964,16.59373,1345,301,3,536,693682201811773440,STAR,-6.478209E-05,616,52442,465
1237651250973507977,234.158818441311,54.4301096290641,21.33126,20.73182,20.54057,19.91096,19.21151,1345,301,3,536,9479079822087182336,STAR,0.0001200805,8419,58249,467
1237651250973508142,234.101395579111,54.5401875586338,25.3214,22.34007,21.02772,20.4276,20.08328,1345,301,3,536,7552656530115680256,STAR,-0.0003167171,6708,56452,436
1237651250973508277,234.046034688705,54.437279752165,22.69492,21.53016,21.22434,21.09447,21.13882,1345,301,3,536,9480314023016945664,STAR,-0.0006815228,8420,58197,861
1237651250973508623,234.016872148362,54.3796784907724,22.8256,24.08419,21.64103,20.56332,19.72885,1345,301,3,536,9480314572772759552,STAR,-0.0003934004,8420,58197,863
1237651250973573533,234.133278802731,54.394628329342,23.10886,21.35595,20.60532,20.28828,20.28937,1345,301,3,537,9480314297894852608,STAR,-0.0008845452,8420,58197,862
1237651250973573576,234.176462963933,54.4031910861431,23.24699,22.02432,21.35808,21.16584,21.01666,1345,301,3,537,9479080096965089280,STAR,-0.001059165,8419,58249,468
1237651250973704215,234.501094434512,54.160110261412,18.78712,17.83259,17.56049,17.4719,17.48376,1345,301,3,539,9480337387639035904,STAR,-0.0009883706,8420,58197,946
1237651250973704450,234.565789715867,54.015398038724,21.22057,20.30215,20.26835,20.20646,20.06319,1345,301,3,539,7559560363542599680,STAR,-0.0004715976,6714,56447,976
1237651250973704989,234.646952404933,54.1316866775675,23.69024,22.15333,20.46811,19.48432,19.09505,1345,301,3,539,7552628767447078912,STAR,-3.954089E-05,6708,56452,335
1237651250973769774,234.836151919179,54.079705835663,18.14,17.21707,16.89411,16.76904,16.74675,1345,301,3,540,9479064154046486528,STAR,-0.0006859014,8419,58249,410
1237651250973900872,234.948804417528,53.8091100816045,19.68153,18.80518,18.51328,18.38961,18.34741,1345,301,3,542,7552617497452894208,STAR,-0.0008096671,6708,56452,294
1237651250973901006,235.037631376282,53.8263364218703,23.46789,21.35788,20.96207,20.70468,20.78168,1345,301,3,542,7552618047208708096,STAR,-0.0003686153,6708,56452,296
1237651250973901234,235.095009044689,53.8776569959806,22.91195,21.15727,20.95306,20.98713,21.30418,1345,301,3,542,7552618596964521984,STAR,-0.000341304,6708,56452,298
1237651250973966549,235.374854744069,53.6841494836036,19.91466,19.04863,18.72462,18.58891,18.58725,1345,301,3,543,7560580435488823296,STAR,-0.0003419665,6715,56449,591
1237651250973966673,235.340820645723,53.8357155204454,22.10219,21.4315,21.22591,21.22281,21.04419,1345,301,3,543,7552604303313360896,STAR,-0.001262634,6708,56452,246
1237651250973966783,235.350975830694,53.6446214699458,23.45941,21.62111,21.39402,21.34463,22.00313,1345,301,3,543,7560579061099288576,STAR,-0.000396786,6715,56449,586
1237651250973967265,235.292635996253,53.6097108900535,22.99486,21.7047,21.25217,20.85255,20.84952,1345,301,3,543,9473473130658027520,STAR,-0.0002897981,8414,57846,550
1237651250973967390,235.292937211531,53.6975969591921,24.0719,23.60571,22.29935,20.93262,19.89082,1345,301,3,543,9479052884052301824,STAR,-0.0002270043,8419,58249,369
1237651250974031934,235.602047143887,53.6465112557872,22.95665,21.60914,21.52736,20.49516,20.43765,1345,301,3,544,9479030069186025472,STAR,-0.0005907982,8419,58249,286
1237651250974032209,235.634997144991,53.6662644094715,21.82722,21.54731,21.72295,21.57422,21.16334,1345,301,3,544,7552593308197083136,STAR,-0.0002698043,6708,56452,206
1237651250974032860,235.38096214752,53.5386763691244,24.81349,24.09141,22.15986,20.345,19.08237,1345,301,3,544,9473475054803376128,STAR,-0.0001244221,8414,57846,557
1237651250974097468,235.714612557914,53.4737654487914,18.73166,17.61709,17.52833,17.51793,17.57694,1345,301,3,545,9473476429192910848,STAR,-0.0008770078,8414,57846,562
1237651250974097575,235.798847400977,53.5405704862786,19.49593,18.53133,18.19218,18.03304,18.02544,1345,301,3,545,695903208706435072,STAR,-0.001180981,618,52049,353
1237651250974097989,235.575649774376,53.4650312104965,24.2287,23.00991,21.66417,20.36402,19.59247,1345,301,3,545,9473461310908028928,STAR,-0.0007058813,8414,57846,507
1237651250974162989,235.834158511616,53.4553912670343,17.34257,16.31212,15.96572,15.81803,15.7559,1345,301,3,546,693570601381554176,STAR,-0.0007583128,616,52442,59
1237651250974163063,235.970570173164,53.4827936700566,18.50637,17.42144,17.07818,16.95922,16.90339,1345,301,3,546,693555757974579200,STAR,-0.0002177961,616,52442,5
1237651250974163185,235.726424163769,53.418085088239,19.37008,18.27212,18.25517,18.31244,18.32889,1345,301,3,546,693570326503647232,STAR,-0.0005774945,616,52442,58
1237651250974228605,236.107078886693,53.3886874174568,19.69014,18.54115,18.11513,17.94444,17.86713,1345,301,3,547,693555208218765312,STAR,-0.0005155088,616,52442,3
