#Table1
objid,ra,dec,u,g,r,i,z,run,rerun,camcol,field,specobjid,class,redshift,plate,mjd,fiberid
1237648705126858988,212.884846704886,0.465793929404053,19.91152,17.86002,16.76313,16.30512,15.95296,752,301,5,463,340183153517815808,GALAXY,0.1447121,302,51688,587
1237648705126858989,212.883841643216,0.465994358361233,21.18134,19.1744,17.85382,17.34729,17.05075,752,301,5,463,341243631258068992,GALAXY,0.2551171,303,51615,349
1237648705126859079,212.826682175135,0.565513018393628,21.16084,19.30665,17.90501,17.30273,16.86242,752,301,5,463,4542107917651040256,GALAXY,0.2613679,4034,55635,828
1237648705126859452,212.861814662354,0.526013010112811,24.13676,22.38934,20.92019,19.76733,19.22575,752,301,5,463,4542109292040574976,GALAXY,0.6230651,4034,55635,833
1237648705126924435,212.959641168051,0.513288157669008,18.62167,16.64823,15.61071,15.10098,14.70314,752,301,5,464,340182878639908864,GALAXY,0.05459604,302,51688,586
1237648705126924446,212.963287578344,0.538395868808906,19.7,18.52585,17.80881,17.37052,17.10915,752,301,5,464,340183703273629696,GALAXY,0.1057341,302,51688,589
1237648705126924460,212.977553655234,0.497815559492924,19.61586,17.82232,16.97737,16.58277,16.23934,752,301,5,464,340196622535256064,GALAXY,0.05439847,302,51688,636
1237648705126924465,212.981967633801,0.4665663946088,19.06049,17.15722,16.17834,15.67851,15.28477,752,301,5,464,340195248145721344,GALAXY,0.05476647,302,51688,631
1237648705126924499,213.024373289921,0.485351355563937,18.44178,16.90574,16.14071,15.72687,15.4303,752,301,5,464,340193598878279680,GALAXY,0.05477605,302,51688,625
1237648705126924526,213.040026426712,0.531775547003044,18.96429,17.69754,17.02617,16.64228,16.39355,752,301,5,464,340194698389907456,GALAXY,0.1054251,302,51688,629
1237648705126924553,213.065315475243,0.523193477311807,18.54098,17.44717,17.07023,16.85359,16.73716,752,301,5,464,340195521815668736,GALAXY,0.05319332,302,51616,632
1237648705126924555,213.066356108399,0.522501842494216,21.79064,20.94959,21.04271,20.87025,21.152,752,301,5,464,4542120012278945792,GALAXY,0.05301408,4034,55635,872
1237648705126924764,212.95744498415,0.430956394691861,22.98619,22.12943,20.35789,19.51759,18.96389,752,301,5,464,4542122211302201344,GALAXY,0.4744285,4034,55635,880
1237648705126924995,213.052192039866,0.435141769837266,24.9202,21.55845,19.89403,19.00363,18.5212,752,301,5,464,4542119187645224960,GALAXY,0.4756056,4034,55635,869
1237648705127121622,213.536705245746,0.485205585250828,22.12172,21.80454,20.14941,19.11932,18.60765,752,301,5,467,4542145026168477696,GALAXY,0.4759251,4034,55635,963
1237648705127448778,214.256990746428,0.477071554320319,17.20695,15.66462,14.96531,14.60201,14.35649,752,301,5,472,341286512211552256,GALAXY,0.05245277,303,51615,505
1237648705127514152,214.343212023735,0.472679147821401,19.63085,17.71961,16.88926,16.45504,16.13981,752,301,5,473,341297782205736960,GALAXY,0.05033805,303,51615,546
1237648705127514422,214.436462105748,0.479503044288137,22.6884,20.71103,18.70131,18.11822,17.77295,752,301,5,473,341298331961550848,GALAXY,0.3611151,303,51615,548
1237648705127842128,215.143415437457,0.560351699157601,22.73324,22.02996,19.82036,18.72503,18.40934,752,301,5,478,4535277476306507776,GALAXY,0.5137253,4028,55621,555
1237648705127907452,215.343452492422,0.600189766741078,19.68115,18.00618,17.15115,16.85933,16.37811,752,301,5,479,342401966657267712,GALAXY,0.09741241,304,51609,467
1237648705127973018,215.413346523289,0.43966910301189,20.49845,18.48686,17.46666,17.26774,16.66544,752,301,5,480,342410212994476032,GALAXY,0.1215034,304,51609,497
1237648705128038778,215.624477428049,0.443820796834807,21.43802,20.34789,19.82561,19.153,18.84908,752,301,5,481,4538737639113906176,GALAXY,0.1661216,4031,55604,855
1237648705128104111,215.674193907887,0.506038649477964,20.7598,18.61001,17.63561,16.98062,16.56455,752,301,5,482,342417359820056576,GALAXY,0.1671649,304,51609,523
1237648705128104116,215.69163342737,0.503772730815731,19.28612,17.40576,16.34244,15.69377,15.31445,752,301,5,482,342419009087498240,GALAXY,0.1671632,304,51609,529
1237648705128104117,215.688482148617,0.506089584998528,22.23867,20.09863,19.28938,18.47143,18.18694,752,301,5,482,4534087804859471872,GALAXY,0.1657524,4027,55629,323
1237648705128104165,215.759752498753,0.44021472558247,21.57796,19.28555,18.6555,17.9951,17.69402,752,301,5,482,4534076809743194112,GALAXY,0.1467915,4027,55629,283
1237648705128104332,215.786476744073,0.602211289480565,21.55291,20.61115,20.16895,19.49972,19.151,752,301,5,482,4535296168004179968,GALAXY,0.223914,4028,55621,623
1237648705128104464,215.679008625714,0.436509263545385,21.69648,21.13131,20.21952,19.29828,18.93577,752,301,5,482,4538753032276695040,GALAXY,0.3707593,4031,55604,911
1237648705128104535,215.70536373534,0.494998859171738,22.14473,20.51878,19.68155,18.8616,18.31716,752,301,5,482,4534076259987380224,GALAXY,0.1681276,4027,55629,281
1237648705128104560,215.717798989774,0.581111782673576,21.77014,20.452,19.97659,19.12017,18.87841,752,301,5,482,4535297817271621632,GALAXY,0.1427414,4028,55621,629
1237648705128104612,215.741727441038,0.519069476873641,21.86011,20.26696,19.23057,18.49154,18.18206,752,301,5,482,4534079008766449664,GALAXY,0.2778276,4027,55629,291
1237648705128104687,215.771272751088,0.549218481016319,21.88767,21.17418,20.09213,19.17669,18.76058,752,301,5,482,4534066364382730240,GALAXY,0.4878529,4027,55629,245
1237648705128169619,215.833055094731,0.519206815327691,20.12282,18.13332,17.02223,16.41392,16.08011,752,301,5,483,342438800296798208,GALAXY,0.1673057,304,51609,601
1237648705128169637,215.841253068847,0.475249240363704,24.2779,21.70734,20.3505,19.41208,19.00318,752,301,5,483,4534068013650171904,GALAXY,0.383596,4027,55629,251
1237648705128169770,215.823640777757,0.565759303788182,21.19874,20.51884,19.4523,18.73707,18.26785,752,301,5,483,4538762378125531136,GALAXY,0.3859071,4031,55604,945
1237648705128170155,215.89423976048,0.505529273514966,22.72962,21.32412,20.06048,19.26159,18.91132,752,301,5,483,4534054819510638592,GALAXY,0.482502,4027,55629,203
1237648705129349140,218.524375480134,0.620087715125048,15.99632,14.14376,13.25364,12.85262,12.55824,752,301,5,501,344688951312803840,GALAXY,0.03040131,306,51637,595
1237648705129349141,218.546906983597,0.615752696442876,18.10308,16.30075,15.44654,15.02756,14.69516,752,301,5,501,344688126679083008,GALAXY,0.02992242,306,51637,592
1237648705129349143,218.527925101494,0.607392798430234,19.76188,17.9466,17.11826,16.76886,16.46551,752,301,5,501,345745857301211136,GALAXY,0.03160265,307,51663,344
1237648705130004781,220.122411215283,0.584089431543556,16.93221,15.56652,14.92086,14.58185,14.3252,752,301,5,511,345800008248879104,GALAXY,0.03717615,307,51663,541
1237648705130266913,220.598694525616,0.476104372404068,21.71393,19.88813,18.30871,17.72028,17.33157,752,301,5,515,4528545162096564224,GALAXY,0.3139783,4022,55352,639
1237648705130528981,221.235523331224,0.627658122444956,20.25728,18.75883,17.7403,17.28625,16.92428,752,301,5,519,346906391807551488,GALAXY,0.1713152,308,51662,470
1237648705130528994,221.239899565324,0.514442268569199,20.77189,19.01048,17.93483,17.43392,17.09735,752,301,5,519,346905567173830656,GALAXY,0.1733962,308,51662,467
1237648705130529024,221.263726422944,0.526978719187992,17.00244,15.55892,14.93361,14.58515,14.32871,752,301,5,519,346905017418016768,GALAXY,0.02873155,308,51662,465
1237648705130529068,221.277737641475,0.494732180077551,19.25605,18.11174,17.34868,16.93481,16.68558,752,301,5,519,346906116929644544,GALAXY,0.1098084,308,51662,469
1237648705130725570,221.71120886724,0.468614706553582,18.61506,17.66902,17.3256,17.07911,16.96687,752,301,5,522,346911064731969536,GALAXY,0.055526,308,51662,487
1237648705130725594,221.716453606031,0.560438271948003,22.52976,21.92102,20.42814,19.40614,18.81653,752,301,5,522,4528610583038416896,GALAXY,0.5184045,4022,55352,877
1237648705130725628,221.766733248506,0.479062035030444,17.68773,16.15192,15.37372,14.9532,14.64231,752,301,5,522,4528611407672137728,GALAXY,0.05581114,4022,55352,880
1237648705130791195,221.908595751948,0.560728560418235,20.35787,18.58553,17.68793,17.33991,17.01728,752,301,5,523,346912988877318144,GALAXY,0.1716026,308,51662,494
1237648705130922009,222.09672129181,0.563946057063445,22.71625,21.26442,21.01283,19.96771,19.7697,752,301,5,525,4528632573270972416,GALAXY,0.1991732,4022,55352,957
