#Table1
objid,ra,dec,u,g,r,i,z,run,rerun,camcol,field,specobjid,class,redshift,plate,mjd,fiberid
1237648704585662997,202.983953220498,0.0413117163565322,22.86756,21.73817,21.82384,21.64063,21.45048,752,301,4,397,4555547797529843712,STAR,8.675089E-05,4046,55605,570
1237648704585728006,203.078537582477,0.159319623757607,18.4065,17.46412,17.19024,17.0908,17.0921,752,301,4,398,4555546698018215936,STAR,-3.818355E-05,4046,55605,566
1237648704585728178,203.12657011713,0.0146428594267344,19.36935,18.19838,18.29536,18.30812,18.36269,752,301,4,398,335580877201369088,STAR,-9.303038E-05,298,51955,228
1237648704585793672,203.261041010258,0.0771791381345758,19.40266,18.53179,18.25611,18.15318,18.09651,752,301,4,399,4555570887274027008,STAR,0.001088749,4046,55605,654
1237648704585794315,203.330808634515,0.200199101468754,23.10531,21.40823,21.34176,21.52074,21.91861,752,301,4,399,4555569238006585344,STAR,0.0001366891,4046,55605,648
1237648704585859095,203.408051925526,0.0778858798114156,18.71659,17.71405,17.34747,17.2254,17.17612,752,301,4,400,335571806230439936,STAR,0.0002243141,298,51955,195
1237648704585859249,203.442070899101,0.194012242463752,21.59489,20.26166,20.15359,20.22842,20.21019,752,301,4,400,4555580233122863104,STAR,5.453477E-05,4046,55605,688
1237648704586055796,203.851008344715,0.112084278162584,19.65064,18.62127,18.53074,18.51062,18.61664,752,301,4,403,335661141550196736,STAR,0.0005151934,298,51955,520
1237648704586186953,204.250939681244,0.0703413602768013,20.10594,19.12517,19.03627,19.00385,19.08019,752,301,4,405,336742781349292032,STAR,0.0006642948,299,51671,359
1237648704586317972,204.48347227568,0.0715448520652805,20.51024,19.55868,19.30402,19.26449,19.23828,752,301,4,407,336741406959757312,STAR,5.164485E-06,299,51671,354
1237648704586318297,204.44080408766,0.18054920134692,22.45743,21.06758,19.99763,19.18946,18.74579,752,301,4,407,4555635483582158848,STAR,0.0002289927,4046,55605,889
1237648704586318352,204.456096464112,0.0640530580991129,23.48823,21.82506,21.60738,21.65915,21.95283,752,301,4,407,4555636583093786624,STAR,0.0001496654,4046,55605,893
1237648704586448904,204.737919861845,0.191976664380583,18.56883,17.3742,16.95487,16.79262,16.72035,752,301,4,409,335693302265309184,STAR,0.0002048712,298,51955,637
1237648704586448935,204.81610162812,0.140003998748319,22.74832,21.3617,21.12636,21.16151,21.29974,752,301,4,409,4555648402843785216,STAR,0.0006457345,4046,55605,936
1237648704586448999,204.786266350448,0.0122061884132367,19.44328,18.33955,17.20383,16.97017,16.8421,752,301,4,409,336753501587662848,STAR,-2.184608E-05,299,51671,398
1237648704586449292,204.734222233406,0.0173557973809997,22.83141,21.7485,21.61526,21.82196,21.50258,752,301,4,409,4552160202624096256,STAR,0.0001593613,4043,55630,534
